utility,model,regime,size,rep,RelL2,beta_star
nonsmooth,Smooth,perturbed,200,19,0.226408,3.906250
smooth,Additive+Smooth,not-perturbed,180,4,0.066301,11.718750
smooth,Convex only,not-perturbed,180,5,0.132616,
smooth,Additive,not-perturbed,180,5,0.108035,
smooth,Smooth,not-perturbed,180,0,0.083194,9.765625
smooth,Additive+Smooth,not-perturbed,180,5,0.057695,9.765625
smooth,Convex only,not-perturbed,180,6,0.131688,
smooth,Additive,not-perturbed,180,6,0.106618,
smooth,Smooth,not-perturbed,180,1,0.080944,9.765625
nonsmooth,Smooth,perturbed,200,18,0.216551,5.859375
smooth,Convex only,not-perturbed,180,7,0.129983,
smooth,Additive,not-perturbed,180,7,0.104365,
smooth,Additive+Smooth,not-perturbed,180,6,0.056586,9.765625
smooth,Additive+Smooth,not-perturbed,180,7,0.060323,10.742188
smooth,Convex only,not-perturbed,180,8,0.133746,
smooth,Additive,not-perturbed,180,8,0.112039,
smooth,Smooth,not-perturbed,180,2,0.082847,9.765625
smooth,Additive+Smooth,not-perturbed,180,8,0.058960,9.765625
smooth,Convex only,not-perturbed,180,9,0.136829,
smooth,Additive,not-perturbed,180,9,0.111372,
smooth,Smooth,not-perturbed,180,3,0.085989,9.765625
smooth,Additive+Smooth,not-perturbed,180,9,0.058336,9.765625
smooth,Convex only,not-perturbed,180,10,0.134585,
smooth,Additive,not-perturbed,180,10,0.110583,
smooth,Smooth,not-perturbed,180,4,0.083239,9.765625
smooth,Additive+Smooth,not-perturbed,180,10,0.063260,10.742188
smooth,Convex only,not-perturbed,180,11,0.126047,
smooth,Additive,not-perturbed,180,11,0.108268,
smooth,Smooth,not-perturbed,180,5,0.086108,9.765625
smooth,Additive+Smooth,not-perturbed,180,11,0.056430,9.765625
smooth,Convex only,not-perturbed,180,12,0.130868,
smooth,Additive,not-perturbed,180,12,0.107121,
nonsmooth,Smooth,perturbed,200,16,0.246554,7.812500
smooth,Additive+Smooth,not-perturbed,180,12,0.066373,11.718750
smooth,Convex only,not-perturbed,180,13,0.126521,
smooth,Additive,not-perturbed,180,13,0.104904,
smooth,Smooth,not-perturbed,180,6,0.086246,9.765625
smooth,Additive+Smooth,not-perturbed,180,13,0.055274,9.765625
smooth,Convex only,not-perturbed,180,14,0.135062,
smooth,Additive,not-perturbed,180,14,0.108649,
smooth,Smooth,not-perturbed,180,8,0.084757,9.765625
smooth,Additive+Smooth,not-perturbed,180,14,0.057716,9.765625
smooth,Convex only,not-perturbed,180,15,0.128269,
smooth,Additive,not-perturbed,180,15,0.109327,
smooth,Smooth,not-perturbed,180,7,0.081499,9.765625
smooth,Additive+Smooth,not-perturbed,180,15,0.062251,10.742188
smooth,Convex only,not-perturbed,180,16,0.132646,
smooth,Additive,not-perturbed,180,16,0.108866,
smooth,Smooth,not-perturbed,180,10,0.084596,9.765625
smooth,Additive+Smooth,not-perturbed,180,16,0.066533,11.718750
smooth,Convex only,not-perturbed,180,17,0.128489,
smooth,Additive,not-perturbed,180,17,0.109009,
smooth,Smooth,not-perturbed,180,9,0.086103,9.765625
smooth,Additive+Smooth,not-perturbed,180,17,0.056603,9.765625
smooth,Convex only,not-perturbed,180,18,0.132469,
smooth,Additive,not-perturbed,180,18,0.107151,
smooth,Smooth,not-perturbed,180,11,0.085791,9.765625
smooth,Additive+Smooth,not-perturbed,180,18,0.053676,9.765625
smooth,Convex only,not-perturbed,180,19,0.130584,
smooth,Additive,not-perturbed,180,19,0.107380,
smooth,Smooth,not-perturbed,180,12,0.085630,9.765625
smooth,Additive+Smooth,not-perturbed,180,19,0.056877,9.765625
smooth,Convex only,perturbed,180,0,0.131982,
smooth,Additive,perturbed,180,0,0.120595,
smooth,Smooth,not-perturbed,180,14,0.085100,9.765625
smooth,Additive+Smooth,perturbed,180,0,0.085591,18.554688
smooth,Smooth,not-perturbed,180,13,0.083696,9.765625
smooth,Convex only,perturbed,180,1,0.129605,
smooth,Additive,perturbed,180,1,0.120744,
smooth,Smooth,not-perturbed,180,15,0.067766,7.812500
smooth,Convex only,perturbed,180,2,0.128250,
smooth,Additive+Smooth,perturbed,180,1,0.069192,10.742188
smooth,Additive,perturbed,180,2,0.116806,
smooth,Additive+Smooth,perturbed,180,2,0.064028,9.765625
smooth,Convex only,perturbed,180,3,0.128448,
smooth,Additive,perturbed,180,3,0.119987,
smooth,Smooth,not-perturbed,180,16,0.085460,9.765625
smooth,Additive+Smooth,perturbed,180,3,0.071488,10.742188
smooth,Convex only,perturbed,180,4,0.132684,
smooth,Smooth,not-perturbed,180,17,0.081402,9.765625
smooth,Additive,perturbed,180,4,0.119855,
smooth,Additive+Smooth,perturbed,180,4,0.086084,18.554688
smooth,Convex only,perturbed,180,5,0.135294,
smooth,Additive,perturbed,180,5,0.122858,
smooth,Smooth,not-perturbed,180,19,0.084884,9.765625
smooth,Additive+Smooth,perturbed,180,5,0.098331,32.226562
smooth,Convex only,perturbed,180,6,0.128598,
smooth,Additive,perturbed,180,6,0.121146,
smooth,Smooth,not-perturbed,180,18,0.084275,9.765625
smooth,Additive+Smooth,perturbed,180,6,0.068833,10.742188
smooth,Convex only,perturbed,180,7,0.126388,
smooth,Additive,perturbed,180,7,0.115230,
smooth,Smooth,perturbed,180,3,0.097059,11.718750
smooth,Additive+Smooth,perturbed,180,7,0.066337,10.742188
smooth,Convex only,perturbed,180,8,0.132557,
smooth,Additive,perturbed,180,8,0.131302,
smooth,Smooth,perturbed,180,2,0.096752,13.671875
smooth,Additive+Smooth,perturbed,180,8,0.064033,8.789062
smooth,Convex only,perturbed,180,9,0.136584,
smooth,Additive,perturbed,180,9,0.128200,
smooth,Smooth,perturbed,180,1,0.117133,21.484375
smooth,Additive+Smooth,perturbed,180,9,0.060746,6.835938
smooth,Convex only,perturbed,180,10,0.132764,
smooth,Additive,perturbed,180,10,0.120842,
smooth,Smooth,perturbed,180,0,0.117114,19.531250
smooth,Additive+Smooth,perturbed,180,10,0.102933,60.546875
smooth,Convex only,perturbed,180,11,0.125328,
smooth,Additive,perturbed,180,11,0.118086,
smooth,Smooth,perturbed,180,4,0.118804,19.531250
smooth,Smooth,perturbed,180,5,0.120187,21.484375
smooth,Convex only,perturbed,180,12,0.132155,
smooth,Additive,perturbed,180,12,0.117820,
smooth,Additive+Smooth,perturbed,180,11,0.101635,104.492188
smooth,Additive+Smooth,perturbed,180,12,0.101730,64.453125
smooth,Convex only,perturbed,180,13,0.128157,
smooth,Additive,perturbed,180,13,0.116589,
smooth,Smooth,perturbed,180,6,0.109924,19.531250
smooth,Additive+Smooth,perturbed,180,13,0.069373,10.742188
smooth,Convex only,perturbed,180,14,0.134791,
smooth,Additive,perturbed,180,14,0.118371,
smooth,Smooth,perturbed,180,7,0.108414,19.531250
smooth,Additive+Smooth,perturbed,180,14,0.096219,31.250000
smooth,Convex only,perturbed,180,15,0.127390,
smooth,Additive,perturbed,180,15,0.125612,
smooth,Smooth,perturbed,180,8,0.120156,21.484375
smooth,Additive+Smooth,perturbed,180,15,0.066300,9.765625
smooth,Convex only,perturbed,180,16,0.131218,
smooth,Smooth,perturbed,180,10,0.096955,13.671875
