rep,training_size,model,RelL2,beta_star
17,120,Smooth,0.2824,3.9062
17,140,Smooth,0.2674,3.9062
17,160,Smooth,0.2708,3.9062
17,180,Smooth,0.2561,3.9062
17,200,Smooth,0.2431,3.9062
18,20,Smooth,0.5860,23.4375
18,40,Smooth,0.3525,35.1562
18,60,Smooth,0.3408,621.0938
18,80,Smooth,0.2410,3.9062
18,100,Smooth,0.2321,3.9062
18,120,Smooth,0.2497,3.9062
18,140,Smooth,0.2405,3.9062
18,160,Smooth,0.2461,3.9062
18,180,Smooth,0.2437,3.9062
18,200,Smooth,0.2166,5.8594
19,20,Smooth,0.3577,3.9062
19,40,Smooth,0.3159,3.9062
19,60,Smooth,0.2725,3.9062
19,80,Smooth,0.2590,3.9062
19,100,Smooth,0.2644,3.9062
19,120,Smooth,0.2345,3.9062
19,140,Smooth,0.2461,3.9062
19,160,Smooth,0.2459,3.9062
19,180,Smooth,0.2405,3.9062
19,200,Smooth,0.2264,3.9062
0,20,Additive+Smooth,0.5749,17.5781
0,40,Additive+Smooth,0.7065,3.9062
0,60,Additive+Smooth,0.6729,0.9766
0,80,Additive+Smooth,0.6881,0.9766
0,100,Additive+Smooth,0.7368,0.9766
0,120,Additive+Smooth,0.7399,0.9766
0,140,Additive+Smooth,0.7429,0.9766
0,160,Additive+Smooth,0.7410,0.9766
0,180,Additive+Smooth,0.7415,0.9766
0,200,Additive+Smooth,0.7421,0.9766
1,20,Additive+Smooth,0.6321,0.9766
1,40,Additive+Smooth,0.7057,0.9766
1,60,Additive+Smooth,0.7329,0.9766
1,80,Additive+Smooth,0.7242,0.9766
1,100,Additive+Smooth,0.7224,0.9766
1,120,Additive+Smooth,0.7205,0.9766
1,140,Additive+Smooth,0.7196,0.9766
1,160,Additive+Smooth,0.7253,0.9766
1,180,Additive+Smooth,0.7489,0.9766
1,200,Additive+Smooth,0.7480,0.9766
2,20,Additive+Smooth,0.5280,0.9766
2,40,Additive+Smooth,0.6142,0.9766
2,60,Additive+Smooth,0.6605,0.9766
2,80,Additive+Smooth,0.6750,0.9766
2,100,Additive+Smooth,0.7112,0.9766
2,120,Additive+Smooth,0.7428,0.9766
2,140,Additive+Smooth,0.7424,0.9766
2,160,Additive+Smooth,0.7427,0.9766
2,180,Additive+Smooth,0.7541,0.9766
2,200,Additive+Smooth,0.7546,0.9766
3,20,Additive+Smooth,0.5660,0.9766
3,40,Additive+Smooth,0.5879,0.9766
3,60,Additive+Smooth,0.6489,0.9766
3,80,Additive+Smooth,0.6685,0.9766
3,100,Additive+Smooth,0.7111,0.9766
3,120,Additive+Smooth,0.7454,0.9766
3,140,Additive+Smooth,0.7482,0.9766
3,160,Additive+Smooth,0.7487,0.9766
3,180,Additive+Smooth,0.7473,0.9766
3,200,Additive+Smooth,0.7464,0.9766
4,20,Additive+Smooth,0.4975,3.9062
4,40,Additive+Smooth,0.6204,0.9766
4,60,Additive+Smooth,0.6657,0.9766
4,80,Additive+Smooth,0.6963,0.9766
4,100,Additive+Smooth,0.7172,0.9766
4,120,Additive+Smooth,0.7336,0.9766
4,140,Additive+Smooth,0.7325,0.9766
4,160,Additive+Smooth,0.7371,0.9766
4,180,Additive+Smooth,0.7663,0.9766
4,200,Additive+Smooth,0.7691,0.9766
5,20,Additive+Smooth,0.5532,0.9766
5,40,Additive+Smooth,0.5743,0.9766
5,60,Additive+Smooth,0.6284,0.9766
5,80,Additive+Smooth,0.6655,0.9766
5,100,Additive+Smooth,0.6816,0.9766
5,120,Additive+Smooth,0.6989,0.9766
5,140,Additive+Smooth,0.7173,0.9766
5,160,Additive+Smooth,0.7403,0.9766
5,180,Additive+Smooth,0.7396,0.9766
5,200,Additive+Smooth,0.7506,0.9766
6,20,Additive+Smooth,0.7182,0.9766
6,40,Additive+Smooth,0.7213,0.9766
6,60,Additive+Smooth,0.7182,0.9766
6,80,Additive+Smooth,0.7351,0.9766
6,100,Additive+Smooth,0.7342,0.9766
6,120,Additive+Smooth,0.7316,0.9766
6,140,Additive+Smooth,0.7317,0.9766
6,160,Additive+Smooth,0.7470,0.9766
6,180,Additive+Smooth,0.7621,0.9766
6,200,Additive+Smooth,0.7589,0.9766
7,20,Additive+Smooth,0.5968,0.9766
7,40,Additive+Smooth,0.6256,0.9766
7,60,Additive+Smooth,0.6684,1.9531
7,80,Additive+Smooth,0.7215,0.9766
7,100,Additive+Smooth,0.7251,0.9766
7,120,Additive+Smooth,0.7232,0.9766
7,140,Additive+Smooth,0.7301,0.9766
7,160,Additive+Smooth,0.7373,0.9766
7,180,Additive+Smooth,0.7454,0.9766
7,200,Additive+Smooth,0.7581,0.9766
8,20,Additive+Smooth,0.6364,1.9531
8,40,Additive+Smooth,0.6381,1.9531
8,60,Additive+Smooth,0.7179,0.9766
8,80,Additive+Smooth,0.7234,0.9766
8,100,Additive+Smooth,0.7278,0.9766
8,120,Additive+Smooth,0.7321,0.9766
8,140,Additive+Smooth,0.7439,0.9766
8,160,Additive+Smooth,0.7459,0.9766
8,180,Additive+Smooth,0.7465,0.9766
8,200,Additive+Smooth,0.7517,0.9766
9,20,Additive+Smooth,0.5494,0.9766
9,40,Additive+Smooth,0.5425,0.9766
9,60,Additive+Smooth,0.6104,0.9766
9,80,Additive+Smooth,0.7231,0.9766
9,100,Additive+Smooth,0.7528,0.9766
9,120,Additive+Smooth,0.7539,0.9766
9,140,Additive+Smooth,0.7731,0.9766
9,160,Additive+Smooth,0.7735,0.9766
9,180,Additive+Smooth,0.7711,0.9766
9,200,Additive+Smooth,0.7731,0.9766
10,20,Additive+Smooth,0.5297,1.9531
10,40,Additive+Smooth,0.6017,1.9531
10,60,Additive+Smooth,0.6848,0.9766
10,80,Additive+Smooth,0.6815,0.9766
10,100,Additive+Smooth,0.7005,0.9766
10,120,Additive+Smooth,0.7036,0.9766
10,140,Additive+Smooth,0.7078,0.9766
10,160,Additive+Smooth,0.7097,0.9766
10,180,Additive+Smooth,0.7099,0.9766
10,200,Additive+Smooth,0.7099,0.9766
