rep,training_size,model,RelL2,beta_star
7,200,Additive+Smooth,0.0165,565.4297
8,20,Additive+Smooth,0.1531,15.8203
8,40,Additive+Smooth,0.0392,33.6914
8,60,Additive+Smooth,0.0717,80.0781
8,80,Additive+Smooth,0.0589,36.6211
8,100,Additive+Smooth,0.0401,607.4219
8,120,Additive+Smooth,0.0398,553.2227
8,140,Additive+Smooth,0.0343,587.4023
8,160,Additive+Smooth,0.0284,507.3242
8,180,Additive+Smooth,0.0242,636.7188
8,200,Additive+Smooth,0.0232,699.7070
9,20,Additive+Smooth,0.1538,21.0938
9,40,Additive+Smooth,0.0870,65.4297
9,60,Additive+Smooth,0.0417,541.9922
9,80,Additive+Smooth,0.0204,18.5547
9,100,Additive+Smooth,0.0268,604.4922
9,120,Additive+Smooth,0.0256,693.8477
9,140,Additive+Smooth,0.0239,639.6484
9,160,Additive+Smooth,0.0219,636.7188
9,180,Additive+Smooth,0.0209,574.7070
9,200,Additive+Smooth,0.0182,659.6680
10,20,Additive+Smooth,0.1576,70.8984
10,40,Additive+Smooth,0.0595,238.2812
10,60,Additive+Smooth,0.0482,485.8398
10,80,Additive+Smooth,0.0408,467.7734
10,100,Additive+Smooth,0.0259,360.8398
10,120,Additive+Smooth,0.0242,666.0156
10,140,Additive+Smooth,0.0223,672.3633
10,160,Additive+Smooth,0.0209,689.4531
10,180,Additive+Smooth,0.0145,750.0000
10,200,Additive+Smooth,0.0132,751.4648
11,20,Additive+Smooth,0.1050,22.8516
11,40,Additive+Smooth,0.0406,31.7383
11,60,Additive+Smooth,0.0563,271.4844
11,80,Additive+Smooth,0.0447,429.1992
11,100,Additive+Smooth,0.0296,637.2070
11,120,Additive+Smooth,0.0282,591.7969
11,140,Additive+Smooth,0.0254,630.8594
11,160,Additive+Smooth,0.0236,640.6250
11,180,Additive+Smooth,0.0197,589.3555
11,200,Additive+Smooth,0.0193,555.1758
12,20,Additive+Smooth,0.0944,91.7969
12,40,Additive+Smooth,0.0592,646.4844
12,60,Additive+Smooth,0.0470,618.6523
12,80,Additive+Smooth,0.0361,714.8438
12,100,Additive+Smooth,0.0355,562.9883
12,120,Additive+Smooth,0.0231,673.8281
12,140,Additive+Smooth,0.0221,587.4023
12,160,Additive+Smooth,0.0197,639.6484
12,180,Additive+Smooth,0.0213,195.3125
12,200,Additive+Smooth,0.0186,263.6719
13,20,Additive+Smooth,0.0439,47.3633
13,40,Additive+Smooth,0.0752,180.6641
13,60,Additive+Smooth,0.0521,535.1562
13,80,Additive+Smooth,0.0468,61.5234
13,100,Additive+Smooth,0.0430,61.5234
13,120,Additive+Smooth,0.0382,750.4883
13,140,Additive+Smooth,0.0327,635.2539
13,160,Additive+Smooth,0.0273,594.7266
13,180,Additive+Smooth,0.0273,697.7539
13,200,Additive+Smooth,0.0248,644.0430
14,20,Additive+Smooth,0.1095,42.7734
14,40,Additive+Smooth,0.0701,334.9609
14,60,Additive+Smooth,0.0553,650.8789
14,80,Additive+Smooth,0.0538,556.6406
14,100,Additive+Smooth,0.0311,542.4805
14,120,Additive+Smooth,0.0208,624.5117
14,140,Additive+Smooth,0.0203,665.0391
14,160,Additive+Smooth,0.0202,706.5430
14,180,Additive+Smooth,0.0198,725.0977
14,200,Additive+Smooth,0.0218,172.8516
15,20,Additive+Smooth,0.0501,113.7695
15,40,Additive+Smooth,0.0656,66.8945
15,60,Additive+Smooth,0.0422,563.4766
15,80,Additive+Smooth,0.0382,601.0742
15,100,Additive+Smooth,0.0366,369.1406
15,120,Additive+Smooth,0.0237,594.7266
15,140,Additive+Smooth,0.0226,560.0586
15,160,Additive+Smooth,0.0234,643.5547
15,180,Additive+Smooth,0.0215,644.5312
15,200,Additive+Smooth,0.0224,615.2344
16,20,Additive+Smooth,0.1143,66.7969
16,40,Additive+Smooth,0.0764,428.2227
16,60,Additive+Smooth,0.0577,509.2773
16,80,Additive+Smooth,0.0502,16.1133
16,100,Additive+Smooth,0.0458,21.9727
16,120,Additive+Smooth,0.0344,654.7852
16,140,Additive+Smooth,0.0323,687.9883
16,160,Additive+Smooth,0.0312,628.9062
16,180,Additive+Smooth,0.0307,657.7148
16,200,Additive+Smooth,0.0298,681.6406
17,20,Additive+Smooth,0.0554,22.4609
17,40,Additive+Smooth,0.0664,218.2617
17,60,Additive+Smooth,0.0568,436.5234
17,80,Additive+Smooth,0.0444,601.0742
17,100,Additive+Smooth,0.0370,608.3984
17,120,Additive+Smooth,0.0329,645.5078
17,140,Additive+Smooth,0.0310,623.5352
17,160,Additive+Smooth,0.0269,663.5742
17,180,Additive+Smooth,0.0238,715.8203
17,200,Additive+Smooth,0.0178,634.7656
18,20,Additive+Smooth,0.0929,78.6133
18,40,Additive+Smooth,0.0662,255.3711
18,60,Additive+Smooth,0.0509,496.0938
18,80,Additive+Smooth,0.0292,468.7500
18,100,Additive+Smooth,0.0215,516.1133
18,120,Additive+Smooth,0.0210,675.2930
18,140,Additive+Smooth,0.0208,543.4570
