rep,training_size,model,RelL2,beta_star
15,160,Smooth,0.0712,7.6172
15,180,Smooth,0.0670,7.6172
15,200,Smooth,0.0742,8.7891
16,20,Smooth,0.1148,6.4453
16,40,Smooth,0.0862,7.6172
16,60,Smooth,0.0806,7.6172
16,80,Smooth,0.0843,8.2031
16,100,Smooth,0.0800,8.2031
16,120,Smooth,0.0806,8.2031
16,140,Smooth,0.0786,8.2031
16,160,Smooth,0.0755,8.2031
16,180,Smooth,0.0730,8.2031
16,200,Smooth,0.0699,8.2031
17,20,Smooth,0.0829,6.4453
17,40,Smooth,0.0830,7.0312
17,60,Smooth,0.0954,8.7891
17,80,Smooth,0.0930,8.7891
17,100,Smooth,0.0865,8.7891
17,120,Smooth,0.0808,8.7891
17,140,Smooth,0.0787,8.7891
17,160,Smooth,0.0787,8.7891
17,180,Smooth,0.0759,8.7891
17,200,Smooth,0.0750,8.7891
18,20,Smooth,0.0775,6.4453
18,40,Smooth,0.0892,7.6172
18,60,Smooth,0.0899,8.2031
18,80,Smooth,0.0853,8.2031
18,100,Smooth,0.0803,8.2031
18,120,Smooth,0.0757,8.2031
18,140,Smooth,0.0737,8.2031
18,160,Smooth,0.0690,8.2031
18,180,Smooth,0.0658,8.2031
18,200,Smooth,0.0646,8.2031
19,20,Smooth,0.1051,7.6172
19,40,Smooth,0.0734,7.6172
19,60,Smooth,0.0666,7.6172
19,80,Smooth,0.0645,7.6172
19,100,Smooth,0.0809,8.2031
19,120,Smooth,0.0794,8.2031
19,140,Smooth,0.0768,8.2031
19,160,Smooth,0.0747,8.2031
19,180,Smooth,0.0731,8.2031
19,200,Smooth,0.0692,8.2031
0,20,Additive+Smooth,0.0933,8.7891
0,40,Additive+Smooth,0.0536,9.3750
0,60,Additive+Smooth,0.0483,9.3750
0,80,Additive+Smooth,0.0289,9.3750
0,100,Additive+Smooth,0.0261,9.3750
0,120,Additive+Smooth,0.0166,8.2031
0,140,Additive+Smooth,0.0154,8.2031
0,160,Additive+Smooth,0.0143,8.7891
0,180,Additive+Smooth,0.0033,7.8125
0,200,Additive+Smooth,0.0024,8.3008
1,20,Additive+Smooth,0.0714,8.7891
1,40,Additive+Smooth,0.0582,9.3750
1,60,Additive+Smooth,0.0344,9.3750
1,80,Additive+Smooth,0.0318,9.3750
1,100,Additive+Smooth,0.0306,9.3750
1,120,Additive+Smooth,0.0301,9.3750
1,140,Additive+Smooth,0.0186,9.3750
1,160,Additive+Smooth,0.0185,8.2031
1,180,Additive+Smooth,0.0036,7.8125
1,200,Additive+Smooth,0.0025,8.3008
2,20,Additive+Smooth,0.0691,8.7891
2,40,Additive+Smooth,0.0287,9.3750
2,60,Additive+Smooth,0.0241,9.3750
2,80,Additive+Smooth,0.0133,9.3750
2,100,Additive+Smooth,0.0041,8.3008
2,120,Additive+Smooth,0.0113,8.2031
2,140,Additive+Smooth,0.0096,8.7891
2,160,Additive+Smooth,0.0087,9.3750
2,180,Additive+Smooth,0.0080,9.3750
2,200,Additive+Smooth,0.0074,9.3750
3,20,Additive+Smooth,0.0984,8.7891
3,40,Additive+Smooth,0.0638,9.3750
3,60,Additive+Smooth,0.0450,9.3750
3,80,Additive+Smooth,0.0253,8.7891
3,100,Additive+Smooth,0.0191,7.6172
3,120,Additive+Smooth,0.0151,8.2031
3,140,Additive+Smooth,0.0107,8.2031
3,160,Additive+Smooth,0.0104,8.2031
3,180,Additive+Smooth,0.0096,8.2031
3,200,Additive+Smooth,0.0074,8.7891
4,20,Additive+Smooth,0.1020,8.7891
4,40,Additive+Smooth,0.0382,9.3750
4,60,Additive+Smooth,0.0327,9.3750
4,80,Additive+Smooth,0.0296,8.7891
4,100,Additive+Smooth,0.0264,9.3750
4,120,Additive+Smooth,0.0242,9.3750
4,140,Additive+Smooth,0.0265,7.6172
4,160,Additive+Smooth,0.0141,8.7891
4,180,Additive+Smooth,0.0027,8.3008
4,200,Additive+Smooth,0.0089,8.2031
5,20,Additive+Smooth,0.0607,9.3750
5,40,Additive+Smooth,0.0255,9.3750
5,60,Additive+Smooth,0.0192,9.3750
5,80,Additive+Smooth,0.0166,9.3750
5,100,Additive+Smooth,0.0045,8.3008
5,120,Additive+Smooth,0.0141,9.3750
5,140,Additive+Smooth,0.0138,9.3750
5,160,Additive+Smooth,0.0030,8.3008
5,180,Additive+Smooth,0.0027,8.3008
5,200,Additive+Smooth,0.0092,9.3750
6,20,Additive+Smooth,0.0724,8.7891
6,40,Additive+Smooth,0.0609,9.3750
6,60,Additive+Smooth,0.0450,9.3750
6,80,Additive+Smooth,0.0400,9.3750
6,100,Additive+Smooth,0.0373,9.3750
6,120,Additive+Smooth,0.0177,9.3750
6,140,Additive+Smooth,0.0120,9.3750
6,160,Additive+Smooth,0.0114,9.3750
6,180,Additive+Smooth,0.0032,8.3008
6,200,Additive+Smooth,0.0028,8.3008
7,20,Additive+Smooth,0.0854,8.7891
7,40,Additive+Smooth,0.0504,9.3750
7,60,Additive+Smooth,0.0459,9.3750
7,80,Additive+Smooth,0.0267,8.2031
7,100,Additive+Smooth,0.0240,9.3750
7,120,Additive+Smooth,0.0145,8.2031
7,140,Additive+Smooth,0.0118,8.7891
7,160,Additive+Smooth,0.0118,9.3750
7,180,Additive+Smooth,0.0095,9.3750
7,200,Additive+Smooth,0.0029,8.3008
8,20,Additive+Smooth,0.1446,8.7891
8,40,Additive+Smooth,0.0686,8.2031
8,60,Additive+Smooth,0.0600,9.3750
8,80,Additive+Smooth,0.0532,9.3750
8,100,Additive+Smooth,0.0318,9.3750
8,120,Additive+Smooth,0.0310,9.3750
8,140,Additive+Smooth,0.0251,9.3750
8,160,Additive+Smooth,0.0180,9.3750
8,180,Additive+Smooth,0.0029,8.3008
8,200,Additive+Smooth,0.0028,8.3008
9,20,Additive+Smooth,0.1393,8.7891
9,40,Additive+Smooth,0.0736,9.3750
9,60,Additive+Smooth,0.0302,9.3750
9,80,Additive+Smooth,0.0155,9.3750
9,100,Additive+Smooth,0.0141,9.3750
9,120,Additive+Smooth,0.0128,9.3750
