rep,training_size,model,RelL2,beta_star
17,200,Smooth,0.2664,914.0625
18,20,Smooth,0.4492,27.3438
18,40,Smooth,0.3040,396.4844
18,60,Smooth,0.3360,939.4531
18,80,Smooth,0.3271,949.2188
18,100,Smooth,0.3302,955.0781
18,120,Smooth,0.3259,958.9844
18,140,Smooth,0.3154,958.9844
18,160,Smooth,0.2892,869.1406
18,180,Smooth,0.2789,828.1250
18,200,Smooth,0.2776,832.0312
19,20,Smooth,0.4033,5.8594
19,40,Smooth,0.3415,289.0625
19,60,Smooth,0.3712,968.7500
19,80,Smooth,0.3684,968.7500
19,100,Smooth,0.3617,970.7031
19,120,Smooth,0.3337,914.0625
19,140,Smooth,0.2910,914.0625
19,160,Smooth,0.2907,914.0625
19,180,Smooth,0.2793,912.1094
19,200,Smooth,0.2818,912.1094
0,20,Additive+Smooth,0.5722,13.6719
0,40,Additive+Smooth,0.7022,3.9062
0,60,Additive+Smooth,0.6719,0.9766
0,80,Additive+Smooth,0.6905,0.9766
0,100,Additive+Smooth,0.7423,0.9766
0,120,Additive+Smooth,0.7453,0.9766
0,140,Additive+Smooth,0.7466,0.9766
0,160,Additive+Smooth,0.7422,0.9766
0,180,Additive+Smooth,0.7425,0.9766
0,200,Additive+Smooth,0.7445,
1,20,Additive+Smooth,0.6278,0.9766
1,40,Additive+Smooth,0.7046,0.9766
1,60,Additive+Smooth,0.7273,0.9766
1,80,Additive+Smooth,0.7186,0.9766
1,100,Additive+Smooth,0.7190,0.9766
1,120,Additive+Smooth,0.7181,0.9766
1,140,Additive+Smooth,0.7184,0.9766
1,160,Additive+Smooth,0.7266,0.9766
1,180,Additive+Smooth,0.7462,0.9766
1,200,Additive+Smooth,0.7455,
2,20,Additive+Smooth,0.5174,0.9766
2,40,Additive+Smooth,0.6133,0.9766
2,60,Additive+Smooth,0.6620,0.9766
2,80,Additive+Smooth,0.6729,0.9766
2,100,Additive+Smooth,0.7103,0.9766
2,120,Additive+Smooth,0.7452,0.9766
2,140,Additive+Smooth,0.7451,0.9766
2,160,Additive+Smooth,0.7467,0.9766
2,180,Additive+Smooth,0.7535,0.9766
2,200,Additive+Smooth,0.7540,
3,20,Additive+Smooth,0.5728,0.9766
3,40,Additive+Smooth,0.5905,0.9766
3,60,Additive+Smooth,0.6464,0.9766
3,80,Additive+Smooth,0.6669,0.9766
3,100,Additive+Smooth,0.7134,0.9766
3,120,Additive+Smooth,0.7432,0.9766
3,140,Additive+Smooth,0.7439,0.9766
3,160,Additive+Smooth,0.7447,0.9766
3,180,Additive+Smooth,0.7435,0.9766
3,200,Additive+Smooth,0.7425,
4,20,Additive+Smooth,0.4902,3.9062
4,40,Additive+Smooth,0.6197,0.9766
4,60,Additive+Smooth,0.6608,0.9766
4,80,Additive+Smooth,0.6915,0.9766
4,100,Additive+Smooth,0.7142,0.9766
4,120,Additive+Smooth,0.7271,0.9766
4,140,Additive+Smooth,0.7288,0.9766
4,160,Additive+Smooth,0.7315,0.9766
4,180,Additive+Smooth,0.7646,0.9766
4,200,Additive+Smooth,0.7677,0.9766
5,20,Additive+Smooth,0.5523,0.9766
5,40,Additive+Smooth,0.5746,0.9766
5,60,Additive+Smooth,0.6299,0.9766
5,80,Additive+Smooth,0.6645,0.9766
5,100,Additive+Smooth,0.6818,0.9766
5,120,Additive+Smooth,0.6966,0.9766
5,140,Additive+Smooth,0.7130,0.9766
5,160,Additive+Smooth,0.7392,0.9766
5,180,Additive+Smooth,0.7418,0.9766
5,200,Additive+Smooth,0.7530,0.9766
6,20,Additive+Smooth,0.7168,0.9766
6,40,Additive+Smooth,0.7133,0.9766
6,60,Additive+Smooth,0.7158,0.9766
6,80,Additive+Smooth,0.7338,0.9766
6,100,Additive+Smooth,0.7319,0.9766
6,120,Additive+Smooth,0.7290,0.9766
6,140,Additive+Smooth,0.7292,0.9766
6,160,Additive+Smooth,0.7435,0.9766
6,180,Additive+Smooth,0.7573,0.9766
6,200,Additive+Smooth,0.7546,0.9766
7,20,Additive+Smooth,0.5941,0.9766
7,40,Additive+Smooth,0.6211,0.9766
7,60,Additive+Smooth,0.6691,2.9297
7,80,Additive+Smooth,0.7100,0.9766
7,100,Additive+Smooth,0.7172,0.9766
7,120,Additive+Smooth,0.7182,0.9766
7,140,Additive+Smooth,0.7269,0.9766
7,160,Additive+Smooth,0.7320,0.9766
7,180,Additive+Smooth,0.7394,0.9766
7,200,Additive+Smooth,0.7520,0.9766
8,20,Additive+Smooth,0.6429,4.8828
8,40,Additive+Smooth,0.6500,2.9297
8,60,Additive+Smooth,0.7187,1.9531
8,80,Additive+Smooth,0.7229,0.9766
8,100,Additive+Smooth,0.7262,0.9766
8,120,Additive+Smooth,0.7295,0.9766
8,140,Additive+Smooth,0.7412,0.9766
8,160,Additive+Smooth,0.7457,0.9766
8,180,Additive+Smooth,0.7473,0.9766
8,200,Additive+Smooth,0.7528,0.9766
9,20,Additive+Smooth,0.5714,0.9766
9,40,Additive+Smooth,0.5470,0.9766
9,60,Additive+Smooth,0.6118,0.9766
9,80,Additive+Smooth,0.7223,0.9766
9,100,Additive+Smooth,0.7494,0.9766
9,120,Additive+Smooth,0.7532,0.9766
9,140,Additive+Smooth,0.7747,0.9766
9,160,Additive+Smooth,0.7746,0.9766
9,180,Additive+Smooth,0.7713,0.9766
9,200,Additive+Smooth,0.7740,0.9766
10,20,Additive+Smooth,0.5315,1.9531
10,40,Additive+Smooth,0.6009,1.9531
10,60,Additive+Smooth,0.6782,0.9766
10,80,Additive+Smooth,0.6769,0.9766
10,100,Additive+Smooth,0.6987,0.9766
10,120,Additive+Smooth,0.7003,0.9766
10,140,Additive+Smooth,0.7045,0.9766
10,160,Additive+Smooth,0.7060,0.9766
10,180,Additive+Smooth,0.7067,0.9766
10,200,Additive+Smooth,0.7109,0.9766
11,20,Additive+Smooth,0.5885,11.7188
11,40,Additive+Smooth,0.6582,0.9766
11,60,Additive+Smooth,0.7146,96.6797
11,80,Additive+Smooth,0.6705,0.9766
11,100,Additive+Smooth,0.6927,0.9766
11,120,Additive+Smooth,0.6964,0.9766
11,140,Additive+Smooth,0.7176,0.9766
11,160,Additive+Smooth,0.7196,0.9766
11,180,Additive+Smooth,0.7277,0.9766
11,200,Additive+Smooth,0.7295,0.9766
12,20,Additive+Smooth,0.6316,0.9766
12,40,Additive+Smooth,0.6523,0.9766
12,60,Additive+Smooth,0.6643,0.9766
